"","parameter","mean","se_mean","sd","2.5%","10%","25%","50%","75%","90%","97.5%","n_eff","Rhat","model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","neigh"
"152","spain_pdsi...8",0.0550276515128905,5.08949268219021e-06,0.000257621702097117,0.0545429723662588,0.0546947645830198,0.0548553089345322,0.0550208517089802,0.0552086184914867,0.055358425702562,0.055507112631848,2562.21696262732,0.999766888117999,"interaction_stan_psi",-154.161571247225,12.8075695687118,-120134.105740669,1013.23562545871,10.0809272857976,0.104043634889966,240268.211481338,2026.47125091743,"poaceae"
"153","sigma...9",0.355622731430578,3.59740306193236e-05,0.000478838076993976,0.354748965326143,0.355002584419127,0.35529701367779,0.355617130826937,0.355937119901488,0.356244552317116,0.35656309168285,177.173659712422,1.04648455720139,"interaction_stan_psi",-154.161571247225,12.8075695687118,-120134.105740669,1013.23562545871,10.0809272857976,0.104043634889966,240268.211481338,2026.47125091743,"poaceae"
"154","mean_PPD...10",-0.548930292172251,2.34356556299264e-05,0.00090117932823292,-0.55068062151499,-0.550111725279953,-0.549530260473847,-0.548949471389661,-0.548319901443811,-0.547758444624277,-0.547144911302268,1478.65966619285,0.998540571880366,"interaction_stan_psi",-154.161571247225,12.8075695687118,-120134.105740669,1013.23562545871,10.0809272857976,0.104043634889966,240268.211481338,2026.47125091743,"poaceae"
"155","log-posterior...11",-120133.071549173,0.0584198948991827,1.43759678803452,-120136.898981656,-120134.855167047,-120133.809885201,-120132.753929391,-120132.032205312,-120131.543664073,-120131.258769669,605.553676093774,1.00439886090509,"interaction_stan_psi",-154.161571247225,12.8075695687118,-120134.105740669,1013.23562545871,10.0809272857976,0.104043634889966,240268.211481338,2026.47125091743,"poaceae"
"156","(Intercept)...12",-0.282314928973385,1.79936335836439e-05,0.000808590284561604,-0.283972310617885,-0.283397226015333,-0.282858584328013,-0.282300416933092,-0.281771766404422,-0.281295546743286,-0.280762727866959,2019.38577611732,0.999298515323744,"interaction_stan_int",0,0,-119979.944169419,1019.61490210872,9.74799847953827,0.0966592386599856,239959.888338838,2039.22980421743,"poaceae"
"157","density...13",-0.28758698021529,9.65594715878313e-06,0.000472170529702261,-0.288512372100784,-0.288183930018211,-0.287908380923514,-0.287572457738006,-0.287262613201762,-0.286981617190079,-0.286679840836928,2391.15645752261,0.999566605868594,"interaction_stan_int",0,0,-119979.944169419,1019.61490210872,9.74799847953827,0.0966592386599856,239959.888338838,2039.22980421743,"poaceae"
"158","spain_pdsi...14",0.0580286509558658,8.11482467742618e-06,0.000326475777788719,0.0573815425972224,0.0576139643987116,0.0578034266103836,0.0580225653987446,0.0582448863098166,0.0584508842118091,0.0586706182656158,1618.61532490212,1.00044832998411,"interaction_stan_int",0,0,-119979.944169419,1019.61490210872,9.74799847953827,0.0966592386599856,239959.888338838,2039.22980421743,"poaceae"
"159","density:spain_pdsi",-0.00427233102748358,6.26253817966851e-06,0.000257635863188243,-0.00476962568617519,-0.00459957727796034,-0.0044436107499167,-0.00427671338769185,-0.00410267405137714,-0.00393662633488019,-0.00376222121550315,1692.43446648982,0.999607141738734,"interaction_stan_int",0,0,-119979.944169419,1019.61490210872,9.74799847953827,0.0966592386599856,239959.888338838,2039.22980421743,"poaceae"
"160","sigma...16",0.355406076077674,1.93122062191147e-05,0.000445089632587964,0.354534380939327,0.354839114031307,0.355103379565806,0.355397228109871,0.355689375346465,0.355998338618979,0.356289580117387,531.167110985598,1.01373697540425,"interaction_stan_int",0,0,-119979.944169419,1019.61490210872,9.74799847953827,0.0966592386599856,239959.888338838,2039.22980421743,"poaceae"
"161","mean_PPD...17",-0.548884017504614,2.05963227268596e-05,0.000893139946166233,-0.550613583552883,-0.550060202637414,-0.549489686113487,-0.548897733293004,-0.548252089210822,-0.547739717947142,-0.547124573694921,1880.44073817436,0.999088795398879,"interaction_stan_int",0,0,-119979.944169419,1019.61490210872,9.74799847953827,0.0966592386599856,239959.888338838,2039.22980421743,"poaceae"
