Project.ID,Plant.ID,species,sample.number,sla.mm2.mg,mean.seed.mass.mg,seed.notes,height.mm,width.longest.mm,width.90.from.longest.mm,leaf.area.mm2,leaf.wet.mass.mg,leaf.dry.mass.mg,aboverground.biomass.mg,number.buds,number.flowers,number.seeds,C13.plant.permill,delta.C13.discrimination.permill,C13.notes,root.dry.mass.mg,root.wet.mass.mg,root.volume.less.than.0.5mm.diameter.mm3,root.length.less.than.0.5mm.diameter.mm3,total.root.volume.cm3,total.root.length.cm,number.of.root.tips,root.length.per.volume.cm.m3,root.notes,stem.wet.mass.mg,stem.dry.mass.mg,stem.diameter.1.mm,stem.diameter.2.mm,stem.length
COEX.1,Gilberta tenuifolia.1.C,Gilberta tenuifolia,1,26.97841727,NA,,50,20,20,7.5,NA,0.278,51.8,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.1.E,Gilberta tenuifolia,1,28.57142857,NA,,75,40,40,13.2,NA,0.462,125.5,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.10.C,Gilberta tenuifolia,1,27.45098039,NA,,70,30,30,11.2,NA,0.408,74.5,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.10.E,Gilberta tenuifolia,1,37.5,NA,,70,53,52,8.7,NA,0.232,150.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.11.C,Gilberta tenuifolia,1,20.74468085,NA,,66,30,30,7.8,NA,0.376,57.5,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.11.E,Gilberta tenuifolia,1,21.08695652,NA,,100,74,56,19.4,NA,0.92,306.9,NA,NA,NA,-27.76781823,20.33240475,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.12.C,Gilberta tenuifolia,1,17.37891738,NA,,60,45,35,12.2,NA,0.702,132.8,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.12.E,Gilberta tenuifolia,1,30.89552239,NA,,57,46,28,20.7,NA,0.67,83.8,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.13.C,Gilberta tenuifolia,1,18.18181818,NA,,105,40,35,27.6,NA,1.518,235.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.13.E,Gilberta tenuifolia,1,25.22321429,NA,,72,60,34,11.3,NA,0.448,131.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.14.C,Gilberta tenuifolia,1,34.3575419,NA,,65,54,20,12.3,NA,0.358,55.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.14.E,Gilberta tenuifolia,1,22.82051282,NA,,90,36,35,17.8,NA,0.78,257.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
