unique_id,seed,focal,code,site,treatment
PE_CL_7_30_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_31_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_32_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_34_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_35_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_36_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_37_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_39_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_41_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_42_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_50_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_51_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_53_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_63_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e1_TRCY,16,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e2_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e7_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e4_TRCY,12,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e5_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e6_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_7_e1_GORO,1,Goodenia rosea,GORO,PE,CL
PE_CL_7_e2_GORO,6,Goodenia rosea,GORO,PE,CL
PE_CL_8_3_GORO,3,Goodenia rosea,GORO,PE,CL
PE_CL_8_7_GORO,9,Goodenia rosea,GORO,PE,CL
PE_CL_8_9_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_8_12_GORO,0,Goodenia rosea,GORO,PE,CL
PE_CL_8_13_GORO,5,Goodenia rosea,GORO,PE,CL
PE_CL_8_16_GORO,4,Goodenia rosea,GORO,PE,CL
PE_CL_8_19_GORO,3,Goodenia rosea,GORO,PE,CL
PE_CL_8_25_GORO,1,Goodenia rosea,GORO,PE,CL
PE_CL_8_26_GORO,2,Goodenia rosea,GORO,PE,CL
PE_CL_8_29_GORO,15,Goodenia rosea,GORO,PE,CL
PE_CL_8_1_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_3_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_5_TRCY,28,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_9_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_11_TRCY,12,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_12_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_13_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_14_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_15_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_16_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_17_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_19_TRCY,12,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_20_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_21_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_22_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_23_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_25_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_29_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_32_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_33_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_35_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_36_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_39_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_40_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
